Journal name,JCR Abbreviation,2024 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category,2023 JIF
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,4.1,4,Q1,4,1,29,1868,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.9
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,4.1,4,Q2,4,1,29,1868,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.9
NPJ Microgravity,NPJ MICROGRAVITY,4.1,5,Q1,3.6,0.9,88,1872,MULTIDISCIPLINARY SCIENCES,4.4
Journal of Inflammation-London,J INFLAMM-LOND,4.1,4.4,Q2,4.1,0.7,40,1892,IMMUNOLOGY,4.4
LANGUAGE LEARNING & TECHNOLOGY,LANG LEARN TECHNOL,4.1,5.6,Q1,3.6,1,50,2097,EDUCATION & EDUCATIONAL RESEARCH|LINGUISTICS,3.5
World Journal of Mens Health,WORLD J MENS HEALTH,4.1,5,Q1,3.7,0.6,67,2134,ANDROLOGY|UROLOGY & NEPHROLOGY,4
BIOINORGANIC CHEMISTRY AND APPLICATIONS,BIOINORG CHEM APPL,4.1,4.3,Q1,4.1,0.9,7,2172,"CHEMISTRY, INORGANIC & NUCLEAR|CHEMISTRY, ORGANIC",4.7
BIOINORGANIC CHEMISTRY AND APPLICATIONS,BIOINORG CHEM APPL,4.1,4.3,Q2,4.1,0.9,7,2172,BIOCHEMISTRY & MOLECULAR BIOLOGY,4.7
Criminology & Public Policy,CRIMINOL PUBLIC POL,4.1,5.2,Q1,3.9,0.4,30,2215,CRIMINOLOGY & PENOLOGY,3.5
HLA,HLA,4.1,3.4,Q2,2.8,2.6,375,2272,PATHOLOGY,5.9
HLA,HLA,4.1,3.4,Q3,2.8,2.6,375,2272,CELL BIOLOGY|IMMUNOLOGY,5.9
JNCI Cancer Spectrum,JNCI CANCER SPECT,4.1,4.5,Q2,4,0.7,91,2313,ONCOLOGY,3.4
Immune Network,IMMUNE NETW,4.1,4.8,Q2,3.8,1.5,31,2335,IMMUNOLOGY,4.3
IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,4.1,6.7,Q1,4,0.3,42,2405,"ENGINEERING, ELECTRICAL & ELECTRONIC",5.6
SEMINARS IN HEMATOLOGY,SEMIN HEMATOL,4.1,3.6,Q2,4,2.2,60,2434,HEMATOLOGY,5
Therapeutic Advances in Musculoskeletal Disease,THER ADV MUSCULOSKEL,4.1,4.1,Q2,4,0.3,40,2438,RHEUMATOLOGY,3.4
Tissue Engineering and Regenerative Medicine,TISSUE ENG REGEN MED,4.1,4.2,Q2,4,0.8,59,2467,"CELL & TISSUE ENGINEERING|ENGINEERING, BIOMEDICAL",4.4
MANAGEMENT INTERNATIONAL REVIEW,MANAGE INT REV,4.1,4.7,Q2,3.8,0.6,30,2469,MANAGEMENT,3.9
JMIR Serious Games,JMIR SERIOUS GAMES,4.1,4.8,Q1,3.8,0.9,87,2566,"HEALTH CARE SCIENCES & SERVICES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.8
JMIR Serious Games,JMIR SERIOUS GAMES,4.1,4.8,Q2,3.8,0.9,87,2566,MEDICAL INFORMATICS,3.8
ONCOLOGY RESEARCH,ONCOL RES,4.1,3.5,Q2,3.9,1.5,131,2667,ONCOLOGY,NA
SCIENCE COMMUNICATION,SCI COMMUN,4.1,6.7,Q1,3.8,0.8,44,2730,COMMUNICATION,4.6
CLEVELAND CLINIC JOURNAL OF MEDICINE,CLEV CLIN J MED,4.1,4.6,Q1,4.1,1.4,24,2803,"MEDICINE, GENERAL & INTERNAL",3.4
Emergent Materials,EMERGENT MATER,4.1,4.3,Q2,3.9,0.8,304,2836,"MATERIALS SCIENCE, MULTIDISCIPLINARY",4.8
Egyptian Journal of Remote Sensing and Space Sciences,EGYPT J REMOTE SENS,4.1,4.8,Q2,3.9,1.4,59,2852,ENVIRONMENTAL SCIENCES|REMOTE SENSING,3.7
Frontiers in Climate,FRONT CLIM,4.1,4.8,Q2,3.9,0.9,145,2889,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES,3.3
Environmental Communication-A Journal of Nature and Culture,ENVIRON COMMUN,4.1,4.3,Q1,3.4,1,81,2929,COMMUNICATION,3
Environmental Communication-A Journal of Nature and Culture,ENVIRON COMMUN,4.1,4.3,Q2,3.4,1,81,2929,ENVIRONMENTAL STUDIES,3
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,INTERNET INTERV,4.1,4.1,Q1,3.8,0.6,82,2937,"HEALTH CARE SCIENCES & SERVICES|PSYCHOLOGY, CLINICAL",3.6
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,INTERNET INTERV,4.1,4.1,Q2,3.8,0.6,82,2937,MEDICAL INFORMATICS|PSYCHIATRY,3.6
Clinics in Liver Disease,CLIN LIVER DIS,4.1,3.7,Q2,4.1,0.2,48,2992,GASTROENTEROLOGY & HEPATOLOGY,2.9
Career Development International,CAREER DEV INT,4.1,4.2,Q2,3.4,0.3,51,3038,"MANAGEMENT|PSYCHOLOGY, APPLIED",3.4
Nonlinear Analysis-Hybrid Systems,NONLINEAR ANAL-HYBRI,4.1,3.9,Q1,3.8,0.5,77,3107,"MATHEMATICS, APPLIED",3.7
Nonlinear Analysis-Hybrid Systems,NONLINEAR ANAL-HYBRI,4.1,3.9,Q2,3.8,0.5,77,3107,AUTOMATION & CONTROL SYSTEMS,3.7
BIOMEDICAL AND ENVIRONMENTAL SCIENCES,BIOMED ENVIRON SCI,4.1,3.3,Q2,3.9,0.5,91,3115,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3
BIOMEDICAL AND ENVIRONMENTAL SCIENCES,BIOMED ENVIRON SCI,4.1,3.3,Q3,3.9,0.5,91,3115,ENVIRONMENTAL SCIENCES,3
Neuro-Oncology Advances,NEURO-ONCOL ADV,4.1,4.3,Q1,4,0.5,172,3154,CLINICAL NEUROLOGY,3.7
Neuro-Oncology Advances,NEURO-ONCOL ADV,4.1,4.3,Q2,4,0.5,172,3154,ONCOLOGY,3.7
Therapeutic Advances in Neurological Disorders,THER ADV NEUROL DISO,4.1,4.6,Q1,4,0.6,82,3170,CLINICAL NEUROLOGY,4.7
Management of Environmental Quality,MANAG ENVIRON QUAL,4.1,5,Q2,3.8,1,77,3188,ENVIRONMENTAL STUDIES,4.6
REVIEWS IN THE NEUROSCIENCES,REV NEUROSCIENCE,4.1,4.4,Q2,4,0.9,7,3211,NEUROSCIENCES,3.4
Japanese Journal of Radiology,JPN J RADIOL,4.1,3.1,Q2,3.6,0.8,152,3222,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",2.9
Journal of Brand Management,J BRAND MANAG,4.1,5.1,Q2,3.8,1.2,25,3239,BUSINESS|MANAGEMENT,4
Social Responsibility Journal,SOC RESPONSIB J,4.1,4.6,Q2,3.6,0.8,93,3354,MANAGEMENT,2.9
ATOMIC DATA AND NUCLEAR DATA TABLES,ATOM DATA NUCL DATA,4.1,3.1,Q2,3.8,0.8,24,3401,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL|PHYSICS, NUCLEAR",2.7
BIOGERONTOLOGY,BIOGERONTOLOGY,4.1,4.7,Q2,3.9,1.7,33,3494,GERIATRICS & GERONTOLOGY,4.4
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,EUR J PSYCHOL ASSESS,4.1,3.6,Q2,3.9,0.9,49,3562,"PSYCHOLOGY, APPLIED",3.2
Journal of Taibah University for Science,J TAIBAH UNIV SCI,4.1,3.3,Q2,4,1.3,128,3593,MULTIDISCIPLINARY SCIENCES,2.8
Head & Neck Pathology,HEAD NECK PATHOL,4.1,3,Q2,3.8,0.3,95,3718,PATHOLOGY,3.2
CNS SPECTRUMS,CNS SPECTRUMS,4.1,4.5,Q1,3.9,0.5,31,3747,CLINICAL NEUROLOGY|PSYCHIATRY,3.4
Advanced Pharmaceutical Bulletin,ADV PHARM BULL,4.1,4.8,Q1,4,0.7,52,3777,PHARMACOLOGY & PHARMACY,3.1
READING RESEARCH QUARTERLY,READ RES QUART,4.1,6.2,Q1,4,0.8,50,3957,"EDUCATION & EDUCATIONAL RESEARCH|PSYCHOLOGY, EDUCATIONAL",3.9
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,4.1,4.3,Q1,3.6,0.9,171,4165,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE|COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.7
CRITICAL REVIEWS IN TOXICOLOGY,CRIT REV TOXICOL,4.1,5.9,Q1,4,1.2,0,4329,TOXICOLOGY,5.7
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,INFECT DIS CLIN N AM,4.1,6.4,Q1,4.1,0.5,44,4446,IMMUNOLOGY|INFECTIOUS DISEASES,6.1
Women and Birth,WOMEN BIRTH,4.1,3.9,Q1,3.3,0.9,117,4448,NURSING|OBSTETRICS & GYNECOLOGY,4.4
JOURNAL OF TEACHER EDUCATION,J TEACH EDUC,4.1,5.8,Q1,3.7,0.5,28,4530,EDUCATION & EDUCATIONAL RESEARCH,3.1
DENTOMAXILLOFACIAL RADIOLOGY,DENTOMAXILLOFAC RAD,4.1,4.2,Q1,3.7,0.8,76,4613,"DENTISTRY, ORAL SURGERY & MEDICINE|RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",2.9
MILBANK QUARTERLY,MILBANK Q,4.1,5.6,Q1,4,1.1,34,4614,HEALTH CARE SCIENCES & SERVICES|HEALTH POLICY & SERVICES,4.8
Clinical Psychological Science,CLIN PSYCHOL SCI,4.1,5.7,Q1,4.1,1.2,41,4923,"PSYCHIATRY|PSYCHOLOGY|PSYCHOLOGY, CLINICAL",4.8
Journal of Esthetic and Restorative Dentistry,J ESTHET RESTOR DENT,4.1,4.7,Q1,3.6,0.5,154,4951,"DENTISTRY, ORAL SURGERY & MEDICINE",3.2
Global Change Biology Bioenergy,GCB BIOENERGY,4.1,5.5,Q1,3.7,1.1,59,5077,AGRONOMY,5.9
Global Change Biology Bioenergy,GCB BIOENERGY,4.1,5.5,Q2,3.7,1.1,59,5077,ENERGY & FUELS,5.9
SEMINARS IN THROMBOSIS AND HEMOSTASIS,SEMIN THROMB HEMOST,4.1,3.9,Q1,2.9,1.7,73,5094,PERIPHERAL VASCULAR DISEASE,3.6
SEMINARS IN THROMBOSIS AND HEMOSTASIS,SEMIN THROMB HEMOST,4.1,3.9,Q2,2.9,1.7,73,5094,HEMATOLOGY,3.6
BMJ Open Diabetes Research & Care,BMJ OPEN DIAB RES CA,4.1,4.3,Q2,4,0.7,110,5281,ENDOCRINOLOGY & METABOLISM,3.7
Nutrition & Metabolism,NUTR METAB,4.1,4.6,Q2,4.1,0.7,96,5348,NUTRITION & DIETETICS,3.9
CBE-Life Sciences Education,CBE-LIFE SCI EDUC,4.1,5,Q1,2.9,0.8,80,5371,"EDUCATION, SCIENTIFIC DISCIPLINES",4.6
JOURNAL OF SCHOOL PSYCHOLOGY,J SCHOOL PSYCHOL,4.1,6.1,Q1,3.6,0.7,97,5393,"PSYCHOLOGY, EDUCATIONAL",3.8
EXPERT OPINION ON INVESTIGATIONAL DRUGS,EXPERT OPIN INV DRUG,4.1,4.4,Q1,4,0.9,23,5733,PHARMACOLOGY & PHARMACY,4.9
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,J URBAN HEALTH,4.1,4.7,Q1,3.9,0.4,121,5793,"MEDICINE, GENERAL & INTERNAL|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.3
JOURNAL OF NEUROENDOCRINOLOGY,J NEUROENDOCRINOL,4.1,3.5,Q2,3.8,0.5,72,5930,ENDOCRINOLOGY & METABOLISM|NEUROSCIENCES,3.3
BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY,BEST PRACT RES CL OB,4.1,4.9,Q1,4,1,69,6230,OBSTETRICS & GYNECOLOGY,3.9
JOURNAL OF PEST SCIENCE,J PEST SCI,4.1,5,Q1,3.9,1.2,116,6362,ENTOMOLOGY,4.3
European Journal of Psychotraumatology,EUR J PSYCHOTRAUMATO,4.1,5.3,Q1,3.6,0.7,199,6846,"PSYCHIATRY|PSYCHOLOGY, CLINICAL",4.2
PHYSICS AND CHEMISTRY OF THE EARTH,PHYS CHEM EARTH,4.1,3.9,Q2,3.9,0.9,258,6902,"GEOSCIENCES, MULTIDISCIPLINARY|METEOROLOGY & ATMOSPHERIC SCIENCES|WATER RESOURCES",3
PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,4.1,6.5,Q1,4.1,0.2,6,6955,"PSYCHOLOGY, MULTIDISCIPLINARY",7.2
Cluster Computing-The Journal of Networks Software Tools and Applications,CLUSTER COMPUT,4.1,2.3,Q2,3.8,1.2,439,7507,"COMPUTER SCIENCE, THEORY & METHODS",3.6
Cluster Computing-The Journal of Networks Software Tools and Applications,CLUSTER COMPUT,4.1,2.3,Q3,3.8,1.2,439,7507,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3.6
Translational Oncology,TRANSL ONCOL,4.1,4.6,Q2,4,0.8,370,7809,ONCOLOGY,4.5
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,JPEN-PARENTER ENTER,4.1,3.9,Q2,3.9,0.6,91,7995,NUTRITION & DIETETICS,3.2
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,4.1,4.1,Q1,3.8,0.6,256,8359,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|COMPUTER SCIENCE, THEORY & METHODS",3.7
Journal of Inflammation Research,J INFLAMM RES,4.1,4.5,Q2,4,0.6,697,8430,IMMUNOLOGY,4.2
MACROMOLECULAR BIOSCIENCE,MACROMOL BIOSCI,4.1,4.6,Q1,3.9,0.7,146,9337,POLYMER SCIENCE,4.4
MACROMOLECULAR BIOSCIENCE,MACROMOL BIOSCI,4.1,4.6,Q2,3.9,0.7,146,9337,"BIOCHEMISTRY & MOLECULAR BIOLOGY|MATERIALS SCIENCE, BIOMATERIALS",4.4
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,ENG ANAL BOUND ELEM,4.1,3.4,Q1,3.6,1,388,9436,"ENGINEERING, MULTIDISCIPLINARY|MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",4.2
Bulletin of Earthquake Engineering,B EARTHQ ENG,4.1,4.2,Q1,3.6,1.3,230,10305,"GEOSCIENCES, MULTIDISCIPLINARY",3.8
Bulletin of Earthquake Engineering,B EARTHQ ENG,4.1,4.2,Q2,3.6,1.3,230,10305,"ENGINEERING, GEOLOGICAL",3.8
International Journal for Equity in Health,INT J EQUITY HEALTH,4.1,5,Q1,3.9,0.7,210,10445,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.5
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,4.1,4.9,Q1,3.9,0.6,274,10547,"COMPUTER SCIENCE, INFORMATION SYSTEMS|HEALTH CARE SCIENCES & SERVICES",3.7
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,4.1,4.9,Q2,3.9,0.6,274,10547,MEDICAL INFORMATICS,3.7
HEALTH & PLACE,HEALTH PLACE,4.1,4.8,Q1,3.8,0.7,173,10883,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.8
JOURNAL OF MONETARY ECONOMICS,J MONETARY ECON,4.1,5.1,Q1,3.9,1.2,83,11043,"BUSINESS, FINANCE|ECONOMICS",4.3
ULTRASONICS,ULTRASONICS,4.1,4.2,Q1,3.4,1.2,264,11584,"ACOUSTICS|RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.8
Toxics,TOXICS,4.1,4.6,Q1,4,0.8,815,12171,TOXICOLOGY,3.9
Toxics,TOXICS,4.1,4.6,Q2,4,0.8,815,12171,ENVIRONMENTAL SCIENCES,3.9
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,INT BIODETER BIODEGR,4.1,4.3,Q2,3.7,0.8,170,12207,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|ENVIRONMENTAL SCIENCES,4.1
MECHANICS OF MATERIALS,MECH MATER,4.1,3.9,Q1,3.9,0.8,229,12232,MECHANICS,3.4
MECHANICS OF MATERIALS,MECH MATER,4.1,3.9,Q2,3.9,0.8,229,12232,"MATERIALS SCIENCE, MULTIDISCIPLINARY",3.4
HISTOPATHOLOGY,HISTOPATHOLOGY,4.1,5,Q1,3.9,0.5,174,12468,PATHOLOGY,3.9
HISTOPATHOLOGY,HISTOPATHOLOGY,4.1,5,Q2,3.9,0.5,174,12468,CELL BIOLOGY,3.9
Computational and Structural Biotechnology Journal,COMPUT STRUCT BIOTEC,4.1,5.2,Q1,4,0.8,393,13526,BIOCHEMISTRY & MOLECULAR BIOLOGY,4.4
Sustainable Energy & Fuels,SUSTAIN ENERG FUELS,4.1,5.1,Q2,4,1,391,14696,"CHEMISTRY, PHYSICAL|ENERGY & FUELS|MATERIALS SCIENCE, MULTIDISCIPLINARY",5
TOXICOLOGICAL SCIENCES,TOXICOL SCI,4.1,4,Q2,3.9,1.2,132,16030,TOXICOLOGY,3.4
JOURNAL OF PLANT PHYSIOLOGY,J PLANT PHYSIOL,4.1,4.3,Q1,4,0.8,132,16133,PLANT SCIENCES,4
URBAN STUDIES,URBAN STUD,4.1,5.2,Q1,3.6,0.7,152,16324,ENVIRONMENTAL STUDIES|URBAN STUDIES,4.2
JOURNAL OF HYPERTENSION,J HYPERTENS,4.1,4.3,Q1,3.9,3,249,17144,PERIPHERAL VASCULAR DISEASE,3.3
Nanoscale Research Letters,NANOSCALE RES LETT,4.1,5.5,Q1,4.1,N/A,0,18387,"PHYSICS, APPLIED",5.5
Nanoscale Research Letters,NANOSCALE RES LETT,4.1,5.5,Q2,4.1,N/A,0,18387,"MATERIALS SCIENCE, MULTIDISCIPLINARY|NANOSCIENCE & NANOTECHNOLOGY",5.5
ECOLOGICAL ENGINEERING,ECOL ENG,4.1,4.3,Q1,3.8,0.7,212,21565,ECOLOGY,3.9
ECOLOGICAL ENGINEERING,ECOL ENG,4.1,4.3,Q2,3.8,0.7,212,21565,"ENGINEERING, ENVIRONMENTAL|ENVIRONMENTAL SCIENCES",3.9
Biomass Conversion and Biorefinery,BIOMASS CONVERS BIOR,4.1,4.1,Q2,3.7,1,1143,21781,"ENGINEERING, CHEMICAL",3.5
Biomass Conversion and Biorefinery,BIOMASS CONVERS BIOR,4.1,4.1,Q3,3.7,1,1143,21781,ENERGY & FUELS,3.5
PLANT SCIENCE,PLANT SCI,4.1,5.1,Q1,4,1.1,250,23100,BIOCHEMISTRY & MOLECULAR BIOLOGY|PLANT SCIENCES,4.2
JOURNAL OF LIPID RESEARCH,J LIPID RES,4.1,5.7,Q1,4,1.1,184,23746,BIOCHEMISTRY & MOLECULAR BIOLOGY,5
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,AM J PHYSIOL-HEART C,4.1,4.3,Q1,3.3,1.2,204,24857,CARDIAC & CARDIOVASCULAR SYSTEMS|PERIPHERAL VASCULAR DISEASE|PHYSIOLOGY,4.1
Gynecologic Oncology,GYNECOL ONCOL,4.1,4.4,Q1,3.8,0.7,301,25448,OBSTETRICS & GYNECOLOGY,4.5
Gynecologic Oncology,GYNECOL ONCOL,4.1,4.4,Q2,3.8,0.7,301,25448,ONCOLOGY,4.5
Journal of Electroanalytical Chemistry,J ELECTROANAL CHEM,4.1,4.1,Q2,4,1.3,686,39544,"CHEMISTRY, ANALYTICAL|ELECTROCHEMISTRY",4.1
iScience,ISCIENCE,4.1,4.7,Q1,4,0.9,2636,41252,MULTIDISCIPLINARY SCIENCES,4.6
PLANT AND SOIL,PLANT SOIL,4.1,4.7,Q1,3.8,0.9,628,45426,AGRONOMY|PLANT SCIENCES|SOIL SCIENCE,3.9
Plants-Basel,PLANTS-BASEL,4.1,4.5,Q1,3.7,0.9,3208,63547,PLANT SCIENCES,4
JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,J GEOPHYS RES-SOL EA,4.1,4.5,Q1,3.6,0.8,492,63741,GEOCHEMISTRY & GEOPHYSICS,3.9
Remote Sensing,REMOTE SENS-BASEL,4.1,4.8,Q1,3.5,0.9,4663,151330,"GEOSCIENCES, MULTIDISCIPLINARY",4.2
Remote Sensing,REMOTE SENS-BASEL,4.1,4.8,Q2,3.5,0.9,4663,151330,ENVIRONMENTAL SCIENCES|IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY|REMOTE SENSING,4.2
FEMS Microbes,FEMS MICROBES,4,3.6,Q2,3.9,0.8,33,296,MICROBIOLOGY,NA
Functional Diamond,FUNCT DIAMOND,4,5.7,Q2,3.6,0.6,18,348,"MATERIALS SCIENCE, MULTIDISCIPLINARY",NA
JMIR Nursing,JMIR NURS,4,N/A,N/A,3.9,0.4,19,350,NURSING,NA
SAE International Journal of Vehicle Dynamics Stability and NVH,SAE INT J VEH DYN ST,4,2.9,Q2,2.8,1.2,31,484,"ENGINEERING, MECHANICAL|TRANSPORTATION SCIENCE & TECHNOLOGY",2.8
Microbial Risk Analysis,MICROB RISK ANAL,4,3.2,Q3,2.9,0.6,32,506,ENVIRONMENTAL SCIENCES|FOOD SCIENCE & TECHNOLOGY|MICROBIOLOGY,3
Micro and Nano Systems Letters,MICRO NANO SYST LETT,4,4.1,Q3,3.8,1.5,5,550,NANOSCIENCE & NANOTECHNOLOGY,4.7
Journal of Numerical Mathematics,J NUMER MATH,4,2.6,Q1,3.8,0.3,22,659,"MATHEMATICS|MATHEMATICS, APPLIED",3.8
Petroleum Research,PETROL RES-PRC,4,N/A,N/A,3.8,1.5,53,786,"ENERGY & FUELS|ENGINEERING, PETROLEUM",NA
Journal of Advanced Joining Processes,J ADV JOIN PROCESS,4,4.1,Q1,3.5,1.6,91,828,METALLURGY & METALLURGICAL ENGINEERING,3.8
Journal of Advanced Joining Processes,J ADV JOIN PROCESS,4,4.1,Q2,3.5,1.6,91,828,"MATERIALS SCIENCE, MULTIDISCIPLINARY",3.8
Current Research in Biotechnology,CURR RES BIOTECHNOL,4,4.5,Q1,3.9,1.1,87,835,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,3.6
China Journal of Accounting Research,CHINA J ACCOUNT RES,4,4.6,Q1,4,0.8,32,998,"BUSINESS, FINANCE",NA
Geoenvironmental Disasters,GEOENVIRONMENTAL DIS,4,5.2,Q1,3.8,1.2,38,1147,"GEOSCIENCES, MULTIDISCIPLINARY",3.8
Geoenvironmental Disasters,GEOENVIRONMENTAL DIS,4,5.2,Q2,3.8,1.2,38,1147,ENVIRONMENTAL SCIENCES,3.8
CRISPR Journal,CRISPR J,4,3.8,Q2,3.9,1.1,31,1213,GENETICS & HEREDITY,3.7
International Journal of Neonatal Screening,INT J NEONAT SCREEN,4,3.9,Q1,2.6,1,74,1407,PEDIATRICS,4
International Journal of Neonatal Screening,INT J NEONAT SCREEN,4,3.9,Q2,2.6,1,74,1407,GENETICS & HEREDITY,4
Accountability in Research-Ethics Integrity and Policy,ACCOUNT RES,4,3.7,Q1,3.5,0.9,56,1416,MEDICAL ETHICS,2.8
Journal of Multinational Financial Management,J MULTINATL FINANC M,4,4.9,Q1,3.8,0.9,19,1448,"BUSINESS, FINANCE",2.9
GIFTED CHILD QUARTERLY,GIFTED CHILD QUART,4,4.1,Q1,3.2,0.8,20,1474,"EDUCATION, SPECIAL|PSYCHOLOGY, EDUCATIONAL",3
IEEE Journal of Emerging and Selected Topics in Industrial Electronics,IEEE J EM SEL TOP IN,4,4.1,Q2,3.4,1.1,154,1479,"ENGINEERING, ELECTRICAL & ELECTRONIC",NA
Strategic Change-Briefings in Entrepreneurial Finance,STRATEG CHANG,4,3.6,Q2,2.9,0.4,50,1501,"BUSINESS, FINANCE",3.6
Therapeutic Advances in Psychopharmacology,THER ADV PSYCHOPHARM,4,4.2,Q1,3.8,0.7,19,1540,PHARMACOLOGY & PHARMACY,3.4
Therapeutic Advances in Psychopharmacology,THER ADV PSYCHOPHARM,4,4.2,Q2,3.8,0.7,19,1540,PSYCHIATRY,3.4
Journal of Evidence-Based Dental Practice,J EVID-BASED DENT PR,4,4.3,Q1,3.3,1,22,1567,"DENTISTRY, ORAL SURGERY & MEDICINE",4.1
Eye and Vision,EYE VISION,4,4.3,Q1,3.9,0.6,37,1593,OPHTHALMOLOGY,4.1
Tissue Barriers,TISSUE BARRIERS,4,4.9,Q2,3.8,0.5,25,1740,"MEDICINE, RESEARCH & EXPERIMENTAL",3.6
Journal of Integrative Medicine-JIM,J INTEGR MED-JIM,4,3.8,Q1,4,1,39,1925,INTEGRATIVE & COMPLEMENTARY MEDICINE,4.2
International Nano Letters,INT NANO LETT,4,5,Q2,4,N/A,0,1951,NANOSCIENCE & NANOTECHNOLOGY,4.1
International Journal of Implant Dentistry,INT J IMPLANT DENT,4,4.1,Q1,3.8,0.8,54,2005,"DENTISTRY, ORAL SURGERY & MEDICINE",3.1
Environmental Processes-An International Journal,ENVIRON PROCESS,4,3.6,Q3,3.6,1.4,61,2037,"ENGINEERING, ENVIRONMENTAL",3.7
Review of International Organizations,REV INT ORGAN,4,7.4,Q1,3.1,1.9,47,2053,ECONOMICS|INTERNATIONAL RELATIONS|POLITICAL SCIENCE,4.5
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,REV ESP ENFERM DIG,4,2.2,Q3,2.9,1.5,39,2106,GASTROENTEROLOGY & HEPATOLOGY,2.7
Journal of Management and Governance,J MANAG GOV,4,4,Q2,3.7,0.7,35,2135,MANAGEMENT,3.3
Energy Storage,ENERGY STORAGE,4,4.1,Q3,3.7,1,202,2150,ENERGY & FUELS,3.6
Global Environmental Politics,GLOBAL ENVIRON POLIT,4,5.4,Q1,3.8,1.5,32,2243,ENVIRONMENTAL STUDIES|INTERNATIONAL RELATIONS|POLITICAL SCIENCE,3.9
Clinical and Translational Allergy,CLIN TRANSL ALLERGY,4,4.3,Q2,3.9,0.9,48,2267,ALLERGY,4.6
Frontiers of Mechanical Engineering,FRONT MECH ENG-PRC,4,4.2,Q1,3.7,0.7,39,2295,"ENGINEERING, MECHANICAL",4.7
Journal of Neurodevelopmental Disorders,J NEURODEV DISORD,4,4.7,Q1,3.7,0.3,59,2300,CLINICAL NEUROLOGY,4.1
Journal of Neurodevelopmental Disorders,J NEURODEV DISORD,4,4.7,Q2,3.7,0.3,59,2300,NEUROSCIENCES,4.1
Management Accounting Research,MANAGE ACCOUNT RES,4,4.9,Q1,3.6,1.2,15,2344,"BUSINESS, FINANCE",4.2
Management Accounting Research,MANAGE ACCOUNT RES,4,4.9,Q2,3.6,1.2,15,2344,MANAGEMENT,4.2
Paediatric Respiratory Reviews,PAEDIATR RESPIR REV,4,4,Q1,3.9,1.5,17,2354,PEDIATRICS|RESPIRATORY SYSTEM,4.7
International Journal of Disaster Risk Science,INT J DISAST RISK SC,4,4.8,Q1,3.8,0.9,75,2464,"GEOSCIENCES, MULTIDISCIPLINARY|METEOROLOGY & ATMOSPHERIC SCIENCES|WATER RESOURCES",2.9
Targeted Oncology,TARGET ONCOL,4,4.4,Q2,3.9,1,58,2512,ONCOLOGY,4.4
Current Opinion in HIV and AIDS,CURR OPIN HIV AIDS,4,3.5,Q2,3.9,1.2,41,2523,IMMUNOLOGY|INFECTIOUS DISEASES,4.5
Ethics and Information Technology,ETHICS INF TECHNOL,4,4.4,N/A,3.6,1.3,67,2603,PHILOSOPHY,3.4
