Journal name,JCR Abbreviation,2023 JIF,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,Total Articles,Total Citations,Category
COMMENTS ON INORGANIC CHEMISTRY,COMMENT INORG CHEM,3.8,4,Q1,3.8,0.4,4,592,"CHEMISTRY, INORGANIC & NUCLEAR"
Journal of Numerical Mathematics,J NUMER MATH,3.8,3,Q1,3.8,1,17,682,"MATHEMATICS|MATHEMATICS, APPLIED"
Revista de Psicodidactica,REV PSICODIDACT,3.8,3.7,Q1,3.7,0.5,18,692,"EDUCATION & EDUCATIONAL RESEARCH|PSYCHOLOGY, EDUCATIONAL"
Atmospheric Environment-X,ATMOS ENVIRON-X,3.8,3.6,Q2,3.7,1,31,737,ENVIRONMENTAL SCIENCES|METEOROLOGY & ATMOSPHERIC SCIENCES
Myrmecological News,MYRMECOL NEWS,3.8,3,Q1,3.4,0.9,15,774,ENTOMOLOGY
Chemical Physics Impact,CHEM PHYS IMPACT,3.8,N/A,N/A,3.4,1.1,266,853,"CHEMISTRY, PHYSICAL"
JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,3.8,3.6,N/A,3.8,<0.1,7,856,ARCHAEOLOGY
JOURNAL OF WORLD PREHISTORY,J WORLD PREHIST,3.8,3.6,Q1,3.8,<0.1,7,856,ANTHROPOLOGY
Animal Models and Experimental Medicine,ANIM MODEL EXP MED,3.8,3.5,Q2,3.3,0.6,51,858,"BIOCHEMISTRY & MOLECULAR BIOLOGY|MEDICINE, RESEARCH & EXPERIMENTAL"
Geoenvironmental Disasters,GEOENVIRONMENTAL DIS,3.8,N/A,N/A,3.6,1.3,26,937,"ENVIRONMENTAL SCIENCES|GEOSCIENCES, MULTIDISCIPLINARY"
EuroMed Journal of Business,EUROMED J BUS,3.8,3.8,Q2,3.3,0.5,44,943,BUSINESS
Journal of Strategy and Management,J STRATEGY MANAG,3.8,3.5,Q2,3.7,0.5,40,1022,MANAGEMENT
BRQ-Business Research Quarterly,BRQ-BUS RES Q,3.8,4.3,Q2,3.6,0.2,20,1055,BUSINESS|MANAGEMENT
Therapeutic Advances in Infectious Disease,THER ADV INFECT DIS,3.8,3.6,Q2,3.7,1,46,1069,INFECTIOUS DISEASES
AQUACULTURE ECONOMICS & MANAGEMENT,AQUACULT ECON MANAG,3.8,4.4,Q1,2.8,0.9,26,1122,AGRICULTURAL ECONOMICS & POLICY|FISHERIES
Translational Gastroenterology and Hepatology,TRANSL GASTROENT HEP,3.8,3.5,Q2,3.7,0.3,14,1150,GASTROENTEROLOGY & HEPATOLOGY
Radiology-Cardiothoracic Imaging,RADIOL-CARDIOTHORAC,3.8,4.8,Q1,3.5,1.1,52,1226,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
Applied System Innovation,APPL SYST INNOV,3.8,3.2,Q2,3.7,0.8,105,1252,"COMPUTER SCIENCE, INFORMATION SYSTEMS|ENGINEERING, ELECTRICAL & ELECTRONIC|TELECOMMUNICATIONS"
Active Learning in Higher Education,ACT LEARN HIGH EDUC,3.8,4,Q1,3.6,1,25,1305,EDUCATION & EDUCATIONAL RESEARCH
DM DISEASE-A-MONTH,DM-DIS MON,3.8,5.5,Q1,3.7,1.4,21,1323,"MEDICINE, GENERAL & INTERNAL"
Current Heart Failure Reports,CURR HEART FAIL REP,3.8,N/A,N/A,3.7,0.4,44,1444,CARDIAC & CARDIOVASCULAR SYSTEMS
CURRENT GENE THERAPY,CURR GENE THER,3.8,3.2,Q2,3.7,1,13,1488,GENETICS & HEREDITY
NeoBiota,NEOBIOTA,3.8,4.2,Q1,3.5,0.8,74,1608,BIODIVERSITY CONSERVATION|ECOLOGY
Gastroenterology Report,GASTROENTEROL REP,3.8,3.8,Q2,3.5,0.6,77,1663,GASTROENTEROLOGY & HEPATOLOGY
HUMAN RESOURCE DEVELOPMENT INTERNATIONAL,HUM RESOUR DEV INT,3.8,4.3,Q2,3.4,0.6,30,1732,MANAGEMENT
International Journal of Lean Six Sigma,INT J LEAN SIX SIG,3.8,4.1,Q2,3,1.2,54,1738,"ENGINEERING, INDUSTRIAL|MANAGEMENT"
Journal of Applied Research on Medicinal and Aromatic Plants,J APPL RES MED AROMA,3.8,4.1,Q1,3.5,0.9,68,1738,PLANT SCIENCES
Neurospine,NEUROSPINE,3.8,3.9,Q1,2.6,1,99,1749,SURGERY
Neurospine,NEUROSPINE,3.8,3.9,Q2,2.6,1,99,1749,CLINICAL NEUROLOGY
JMIR Serious Games,JMIR SERIOUS GAMES,3.8,3.9,Q1,3.5,0.6,65,1758,"HEALTH CARE SCIENCES & SERVICES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
JMIR Serious Games,JMIR SERIOUS GAMES,3.8,3.9,Q2,3.5,0.6,65,1758,MEDICAL INFORMATICS
Journal of Sustainable Finance & Investment,J SUSTAIN FINANC INV,3.8,4.5,Q1,3.6,1.1,7,1837,"BUSINESS, FINANCE"
Journal of Sustainable Finance & Investment,J SUSTAIN FINANC INV,3.8,4.5,Q2,3.6,1.1,7,1837,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
Forest Ecosystems,FOR ECOSYST,3.8,4.5,Q1,3.7,0.8,71,1862,FORESTRY
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,J VINYL ADDIT TECHN,3.8,2.8,Q1,2.9,1.6,103,1893,"MATERIALS SCIENCE, TEXTILES"
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,J VINYL ADDIT TECHN,3.8,2.8,Q2,2.9,1.6,103,1893,"CHEMISTRY, APPLIED|POLYMER SCIENCE"
PAKISTAN VETERINARY JOURNAL,PAK VET J,3.8,2.2,Q2,3.5,0.6,119,1991,VETERINARY SCIENCES
Journal of Obesity,J OBES,3.8,3.4,Q2,3.8,0.3,13,2005,ENDOCRINOLOGY & METABOLISM
Human Genomics,HUM GENOMICS,3.8,4,Q2,3.6,1,103,2107,GENETICS & HEREDITY
Journal of Epidemiology and Global Health,J EPIDEMIOL GLOB HEA,3.8,5.9,Q1,3.8,0.6,71,2117,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,POL ARCH INTERN MED,3.8,3,Q1,3.1,1.8,53,2142,"MEDICINE, GENERAL & INTERNAL"
Green Processing and Synthesis,GREEN PROCESS SYNTH,3.8,4.1,Q2,3.5,0.6,111,2203,"CHEMISTRY, MULTIDISCIPLINARY|ENGINEERING, CHEMICAL"
Green Processing and Synthesis,GREEN PROCESS SYNTH,3.8,4.1,Q3,3.5,0.6,111,2203,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
Journal of Mixed Methods Research,J MIX METHOD RES,3.8,4.5,Q1,2.8,1.1,16,2363,"SOCIAL SCIENCES, INTERDISCIPLINARY"
Journal of Intensive Care,J INTENSIVE CARE,3.8,4.6,Q1,3.6,0.9,44,2431,CRITICAL CARE MEDICINE
Sustainable Computing-Informatics & Systems,SUSTAIN COMPUT-INFOR,3.8,4.3,Q1,3.7,1.7,73,2436,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE|COMPUTER SCIENCE, INFORMATION SYSTEMS"
Expert Review of Proteomics,EXPERT REV PROTEOMIC,3.8,4.4,Q1,3.7,0.3,0,2440,BIOCHEMICAL RESEARCH METHODS
Actas Dermo-Sifiliograficas,ACTAS DERMO-SIFILOGR,3.8,2.9,Q2,3.2,0.8,87,2455,DERMATOLOGY
Planetary Science Journal,PLANET SCI J,3.8,3.7,Q2,3,0.9,235,2457,ASTRONOMY & ASTROPHYSICS
Applied Psychology-Health and Well Being,APPL PSYCHOL-HLTH WE,3.8,4.7,Q1,3.7,0.7,77,2510,"PSYCHOLOGY, APPLIED"
American Journal of Obstetrics & Gynecology MFM,AM J OBST GYNEC MFM,3.8,4.2,Q1,3.6,0.7,243,2520,OBSTETRICS & GYNECOLOGY
IET Nanobiotechnology,IET NANOBIOTECHNOL,3.8,2.9,Q2,3.7,0.8,27,2567,BIOCHEMICAL RESEARCH METHODS
IET Nanobiotechnology,IET NANOBIOTECHNOL,3.8,2.9,Q3,3.7,0.8,27,2567,NANOSCIENCE & NANOTECHNOLOGY
Current Developments in Nutrition,CURR DEV NUTR,3.8,4.3,Q2,3.6,0.6,102,2594,NUTRITION & DIETETICS
NEW POLITICAL ECONOMY,NEW POLIT ECON,3.8,4.4,Q1,3.6,0.4,51,2711,ECONOMICS|INTERNATIONAL RELATIONS|POLITICAL SCIENCE
INTERNATIONAL NURSING REVIEW,INT NURS REV,3.8,4.1,Q1,3.4,0.4,77,2903,NURSING
POLICY SCIENCES,POLICY SCI,3.8,4.9,Q1,3.3,1,26,3019,"PUBLIC ADMINISTRATION|SOCIAL SCIENCES, INTERDISCIPLINARY"
TQM Journal,TQM J,3.8,N/A,N/A,2.9,1.7,131,3082,MANAGEMENT
Utilities Policy,UTIL POLICY,3.8,3.4,Q2,3.3,2.8,166,3308,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES
Utilities Policy,UTIL POLICY,3.8,3.4,Q3,3.3,2.8,166,3308,ENERGY & FUELS
EXCLI Journal,EXCLI J,3.8,3.9,Q1,3.7,1.2,26,3320,BIOLOGY
CURRENT TREATMENT OPTIONS IN ONCOLOGY,CURR TREAT OPTION ON,3.8,4.5,Q2,3.8,1,0,3389,ONCOLOGY
Expert Review of Gastroenterology & Hepatology,EXPERT REV GASTROENT,3.8,4.2,Q1,3.7,0.6,24,3749,GASTROENTEROLOGY & HEPATOLOGY
Remote Sensing Applications-Society and Environment,REMOTE SENS APPL,3.8,N/A,N/A,3.6,0.9,207,3763,ENVIRONMENTAL SCIENCES|REMOTE SENSING
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,3.8,3.1,Q2,3.2,1.5,157,3793,"ENGINEERING, MECHANICAL|MECHANICS"
CURRENT OPINION IN LIPIDOLOGY,CURR OPIN LIPIDOL,3.8,3.9,Q1,3.7,0.7,0,3994,PERIPHERAL VASCULAR DISEASE
CURRENT OPINION IN LIPIDOLOGY,CURR OPIN LIPIDOL,3.8,3.9,Q2,3.7,0.7,0,3994,BIOCHEMISTRY & MOLECULAR BIOLOGY|ENDOCRINOLOGY & METABOLISM
Translational Stroke Research,TRANSL STROKE RES,3.8,5.1,Q1,3.6,0.6,80,4021,CLINICAL NEUROLOGY|NEUROSCIENCES
Journal of Information Security and Applications,J INF SECUR APPL,3.8,4.2,Q2,3.5,0.5,206,4033,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
North American Journal of Economics and Finance,N AM J ECON FINANC,3.8,3.4,Q1,3.6,1,147,4212,ECONOMICS
North American Journal of Economics and Finance,N AM J ECON FINANC,3.8,3.4,Q2,3.6,1,147,4212,"BUSINESS, FINANCE"
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRIT J CLIN PSYCHOL,3.8,4.1,Q1,3.8,0.4,36,4285,"PSYCHOLOGY, CLINICAL"
Journal of Ovarian Research,J OVARIAN RES,3.8,4.2,Q1,3.7,0.8,193,4328,REPRODUCTIVE BIOLOGY
International Journal of Social Robotics,INT J SOC ROBOT,3.8,4.8,Q2,3.5,0.6,107,4472,ROBOTICS
JOINT BONE SPINE,JOINT BONE SPINE,3.8,3.9,Q2,3.6,1,39,4479,RHEUMATOLOGY
Biochemia Medica,BIOCHEM MEDICA,3.8,2.7,Q2,3.8,0.4,28,4520,MEDICAL LABORATORY TECHNOLOGY
JOURNAL OF SCHOOL PSYCHOLOGY,J SCHOOL PSYCHOL,3.8,5.6,Q1,3.4,1.2,53,4867,"PSYCHOLOGY, EDUCATIONAL"
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,3.8,4.1,Q1,2.8,0.6,177,4941,ASTRONOMY & ASTROPHYSICS|GEOCHEMISTRY & GEOPHYSICS
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,3.8,4.1,Q2,2.8,0.6,177,4941,METEOROLOGY & ATMOSPHERIC SCIENCES
Clinical Research in Cardiology,CLIN RES CARDIOL,3.8,3.9,Q1,3.6,0.6,161,5035,CARDIAC & CARDIOVASCULAR SYSTEMS
IEEE Transactions on Biomedical Circuits and Systems,IEEE T BIOMED CIRC S,3.8,4.8,Q1,3.4,0.6,99,5266,"ENGINEERING, ELECTRICAL & ELECTRONIC"
IEEE Transactions on Biomedical Circuits and Systems,IEEE T BIOMED CIRC S,3.8,4.8,Q2,3.4,0.6,99,5266,"ENGINEERING, BIOMEDICAL"
Journal of Services Marketing,J SERV MARK,3.8,5,Q2,2.9,0.6,60,5424,BUSINESS
MEDICAL CLINICS OF NORTH AMERICA,MED CLIN N AM,3.8,6.9,Q1,3.8,1.1,75,5750,"MEDICINE, GENERAL & INTERNAL"
Climate of the Past,CLIM PAST,3.8,3.9,Q1,3.2,0.8,119,6183,"GEOSCIENCES, MULTIDISCIPLINARY"
Climate of the Past,CLIM PAST,3.8,3.9,Q2,3.2,0.8,119,6183,METEOROLOGY & ATMOSPHERIC SCIENCES
JOURNAL OF DERMATOLOGICAL SCIENCE,J DERMATOL SCI,3.8,4.3,Q1,3.8,0.9,59,6313,DERMATOLOGY
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,3.8,3.8,Q1,2.3,0.8,168,6433,"EDUCATION, SCIENTIFIC DISCIPLINES"
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,3.8,3.8,Q2,2.3,0.8,168,6433,PHARMACOLOGY & PHARMACY
Asian Journal of Psychiatry,ASIAN J PSYCHIATR,3.8,4.8,Q1,2.9,1.5,162,6438,PSYCHIATRY
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,3.8,4.2,Q1,3.5,1,96,6569,"ENGINEERING, CIVIL|ENGINEERING, OCEAN|OCEANOGRAPHY"
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J OCEANIC ENG,3.8,4.2,Q2,3.5,1,96,6569,"ENGINEERING, ELECTRICAL & ELECTRONIC"
WOUND REPAIR AND REGENERATION,WOUND REPAIR REGEN,3.8,4,Q1,3.8,0.3,55,6991,DERMATOLOGY|SURGERY
WOUND REPAIR AND REGENERATION,WOUND REPAIR REGEN,3.8,4,Q2,3.8,0.3,55,6991,"MEDICINE, RESEARCH & EXPERIMENTAL"
WOUND REPAIR AND REGENERATION,WOUND REPAIR REGEN,3.8,4,Q3,3.8,0.3,55,6991,CELL BIOLOGY
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,3.8,4,Q1,3.5,0.7,151,7052,"COMPUTER SCIENCE, SOFTWARE ENGINEERING"
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,3.8,4,Q2,3.5,0.7,151,7052,"COMPUTER SCIENCE, INFORMATION SYSTEMS"
LEARNING AND INDIVIDUAL DIFFERENCES,LEARN INDIVID DIFFER,3.8,4.5,Q1,3.5,2.7,83,7417,"PSYCHOLOGY, EDUCATIONAL"
Bioengineering-Basel,BIOENGINEERING-BASEL,3.8,N/A,N/A,3.4,1,1166,7760,"ENGINEERING, BIOMEDICAL"
HUMAN GENETICS,HUM GENET,3.8,4.5,Q1,3.7,0.7,84,8958,GENETICS & HEREDITY
ACADEMIC RADIOLOGY,ACAD RADIOL,3.8,3.7,Q1,3.1,1.3,317,9023,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
Stem Cells International,STEM CELLS INT,3.8,4.3,Q2,3.8,0.7,90,9438,CELL & TISSUE ENGINEERING
Bulletin of Earthquake Engineering,B EARTHQ ENG,3.8,4.1,Q1,3.3,1.1,213,9544,"GEOSCIENCES, MULTIDISCIPLINARY"
Bulletin of Earthquake Engineering,B EARTHQ ENG,3.8,4.1,Q2,3.3,1.1,213,9544,"ENGINEERING, GEOLOGICAL"
HEALTH & PLACE,HEALTH PLACE,3.8,4.6,Q1,3.6,0.8,149,9928,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,3.8,4.3,Q1,3.3,0.7,250,9968,"ENGINEERING, CIVIL|GEOSCIENCES, MULTIDISCIPLINARY"
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,3.8,4.3,Q2,3.3,0.7,250,9968,"ENGINEERING, ENVIRONMENTAL"
ULTRASONICS,ULTRASONICS,3.8,3.7,Q1,3,0.9,246,10137,"ACOUSTICS|RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
JOURNAL OF COUNSELING PSYCHOLOGY,J COUNS PSYCHOL,3.8,4.9,Q1,3.4,0.6,50,10490,"PSYCHOLOGY, APPLIED|PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF INTERNATIONAL ECONOMICS,J INT ECON,3.8,4.8,Q1,3.6,0.7,88,10824,ECONOMICS
AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,3.8,3.1,Q2,3.5,1,235,10831,"INFECTIOUS DISEASES|PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,CLIN CHEM LAB MED,3.8,3.9,Q1,3,1.2,228,10836,MEDICAL LABORATORY TECHNOLOGY
AMERICAN FAMILY PHYSICIAN,AM FAM PHYSICIAN,3.8,6.7,Q1,3.8,4.2,12,11242,"MEDICINE, GENERAL & INTERNAL|PRIMARY HEALTH CARE"
PROGRESS IN OCEANOGRAPHY,PROG OCEANOGR,3.8,4,Q1,3.5,0.9,0,11535,OCEANOGRAPHY
JOURNAL OF INORGANIC BIOCHEMISTRY,J INORG BIOCHEM,3.8,3.5,Q1,3.5,0.9,219,11945,"CHEMISTRY, INORGANIC & NUCLEAR"
JOURNAL OF INORGANIC BIOCHEMISTRY,J INORG BIOCHEM,3.8,3.5,Q2,3.5,0.9,219,11945,BIOCHEMISTRY & MOLECULAR BIOLOGY
BIOSCIENCE REPORTS,BIOSCIENCE REP,3.8,3.5,Q2,3.8,0.8,82,12048,BIOCHEMISTRY & MOLECULAR BIOLOGY
BIOSCIENCE REPORTS,BIOSCIENCE REP,3.8,3.5,Q3,3.8,0.8,82,12048,CELL BIOLOGY
Open Forum Infectious Diseases,OPEN FORUM INFECT DI,3.8,3.7,Q2,3.6,0.8,551,12377,IMMUNOLOGY|INFECTIOUS DISEASES|MICROBIOLOGY
Chemical Engineering and Processing-Process Intensification,CHEM ENG PROCESS,3.8,3.8,Q2,3.5,0.9,275,12946,"ENGINEERING, CHEMICAL"
Chemical Engineering and Processing-Process Intensification,CHEM ENG PROCESS,3.8,3.8,Q3,3.5,0.9,275,12946,ENERGY & FUELS
BIOCHEMICAL SOCIETY TRANSACTIONS,BIOCHEM SOC T,3.8,4.3,Q2,3.8,1,0,13414,BIOCHEMISTRY & MOLECULAR BIOLOGY
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,DEV MED CHILD NEUROL,3.8,4.7,Q1,3.3,1.3,107,15327,CLINICAL NEUROLOGY|PEDIATRICS
MOLECULAR AND CELLULAR ENDOCRINOLOGY,MOL CELL ENDOCRINOL,3.8,3.7,Q2,3.7,0.6,140,16133,ENDOCRINOLOGY & METABOLISM
MOLECULAR AND CELLULAR ENDOCRINOLOGY,MOL CELL ENDOCRINOL,3.8,3.7,Q3,3.7,0.6,140,16133,CELL BIOLOGY
ECONOMIC JOURNAL,ECON J,3.8,4.5,Q1,3.7,0.6,115,16200,ECONOMICS
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,J AM COLL SURGEONS,3.8,4.4,Q1,3.6,1.6,198,16379,SURGERY
SLEEP MEDICINE,SLEEP MED,3.8,4,Q2,3.6,0.5,315,16757,CLINICAL NEUROLOGY
PEST MANAGEMENT SCIENCE,PEST MANAG SCI,3.8,4.3,Q1,3.4,0.7,538,20843,AGRONOMY|ENTOMOLOGY
ONCOLOGY REPORTS,ONCOL REP,3.8,3.4,Q2,3.7,1.1,125,20962,ONCOLOGY
Vacuum,VACUUM,3.8,3.5,Q2,3,1.2,1004,21153,"MATERIALS SCIENCE, MULTIDISCIPLINARY|PHYSICS, APPLIED"
WATER AIR AND SOIL POLLUTION,WATER AIR SOIL POLL,3.8,3.6,Q2,3.6,0.9,747,21658,ENVIRONMENTAL SCIENCES|METEOROLOGY & ATMOSPHERIC SCIENCES|WATER RESOURCES
Journal of Functional Foods,J FUNCT FOODS,3.8,4.6,Q2,3.7,0.6,521,22325,FOOD SCIENCE & TECHNOLOGY|NUTRITION & DIETETICS
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,3.8,3.8,Q1,3.7,0.6,207,22393,BIOPHYSICS
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,3.8,3.8,Q2,3.7,0.6,207,22393,BIOCHEMISTRY & MOLECULAR BIOLOGY
IEEE TRANSACTIONS ON POWER DELIVERY,IEEE T POWER DELIVER,3.8,4.2,Q2,3.3,0.9,407,22482,"ENGINEERING, ELECTRICAL & ELECTRONIC"
JOURNAL OF PROTEOME RESEARCH,J PROTEOME RES,3.8,4.1,Q1,3.4,0.8,340,22632,BIOCHEMICAL RESEARCH METHODS
JOURNAL OF ADVANCED NURSING,J ADV NURS,3.8,4.1,Q1,3.4,0.5,341,22916,NURSING
Physical Review Applied,PHYS REV APPL,3.8,4.3,Q2,3.5,1.1,871,23265,"PHYSICS, APPLIED"
ChemCatChem,CHEMCATCHEM,3.8,4.6,Q2,3.6,1,525,23980,"CHEMISTRY, PHYSICAL"
OPTICAL MATERIALS,OPT MATER,3.8,3.5,Q1,3.5,1,1230,27060,OPTICS
OPTICAL MATERIALS,OPT MATER,3.8,3.5,Q2,3.5,1,1230,27060,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
CLIMATE DYNAMICS,CLIM DYNAM,3.8,4.4,Q2,3.4,0.7,393,28389,METEOROLOGY & ATMOSPHERIC SCIENCES
LIMNOLOGY AND OCEANOGRAPHY,LIMNOL OCEANOGR,3.8,4.4,Q1,3.6,0.7,188,28412,LIMNOLOGY|OCEANOGRAPHY
Frontiers in Chemistry,FRONT CHEM,3.8,4.8,Q2,3.7,1,554,28582,"CHEMISTRY, MULTIDISCIPLINARY"
Catalysts,CATALYSTS,3.8,3.9,Q2,3.4,1.5,1208,29882,"CHEMISTRY, PHYSICAL"
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,ANAL BIOANAL CHEM,3.8,3.8,Q2,3.6,0.9,522,33575,"BIOCHEMICAL RESEARCH METHODS|CHEMISTRY, ANALYTICAL"
ENDOCRINOLOGY,ENDOCRINOLOGY,3.8,4.3,Q2,3.7,0.8,142,34942,ENDOCRINOLOGY & METABOLISM
POULTRY SCIENCE,POULTRY SCI,3.8,4.1,Q1,3.1,0.7,870,36054,"AGRICULTURE, DAIRY & ANIMAL SCIENCE"
PLoS Computational Biology,PLOS COMPUT BIOL,3.8,4.3,Q1,3.6,0.6,630,40114,BIOCHEMICAL RESEARCH METHODS|MATHEMATICAL & COMPUTATIONAL BIOLOGY
Viruses-Basel,VIRUSES-BASEL,3.8,4,Q2,3.4,1,1950,43838,VIROLOGY
JOURNAL OF CHROMATOGRAPHY A,J CHROMATOGR A,3.8,3.5,Q2,3.3,0.8,620,50509,"BIOCHEMICAL RESEARCH METHODS|CHEMISTRY, ANALYTICAL"
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,3.8,4.7,Q1,3.7,0.8,521,56545,BIOLOGY|ECOLOGY|EVOLUTIONARY BIOLOGY
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,3.8,4.5,Q1,3.3,0.7,667,65817,"PHYSICS, MATHEMATICAL"
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,3.8,4.5,Q2,3.3,0.7,667,65817,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,J GEOPHYS RES-ATMOS,3.8,4.7,Q1,3.3,0.7,747,75097,METEOROLOGY & ATMOSPHERIC SCIENCES
INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,IND ENG CHEM RES,3.8,3.8,Q2,3.5,0.8,1666,89963,"ENGINEERING, CHEMICAL"
Scientific Reports,SCI REP-UK,3.8,4.3,Q1,3.7,0.8,22005,734562,MULTIDISCIPLINARY SCIENCES
ACM Transactions on Quantum Computing,ACM T QUANTUM COMPUT,3.7,4.2,Q1,3.5,1.3,26,225,"COMPUTER SCIENCE, THEORY & METHODS"
ACM Transactions on Quantum Computing,ACM T QUANTUM COMPUT,3.7,4.2,Q2,3.5,1.3,26,225,QUANTUM SCIENCE & TECHNOLOGY
Phenomics,PHENOMICS,3.7,3.7,Q2,3.4,1.3,41,284,GENETICS & HEREDITY
ACS Physical Chemistry Au,ACS PHYS CHEM AU,3.7,3.7,Q2,3.7,1.1,41,294,"CHEMISTRY, PHYSICAL"
Journal of Safety Science and Resilience,J SAF SCI RESIL,3.7,4.8,Q1,3.6,0.8,37,398,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
Romanian Journal of Information Science and Technology,ROM J INF SCI TECH,3.7,2.1,Q2,3.5,0.3,27,408,"COMPUTER SCIENCE, THEORY & METHODS"
Romanian Journal of Information Science and Technology,ROM J INF SCI TECH,3.7,2.1,Q3,3.5,0.3,27,408,"INSTRUMENTS & INSTRUMENTATION|PHYSICS, APPLIED"
Cleaner and Responsible Consumption,CLEAN RESPONS CONSUM,3.7,3.7,Q2,3.3,1.1,58,416,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES
Cleaner and Responsible Consumption,CLEAN RESPONS CONSUM,3.7,3.7,Q3,3.3,1.1,58,416,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
China Economic Journal,CHINA ECON J,3.7,2.6,Q2,3.7,0.2,13,527,ECONOMICS
Quantitative InfraRed Thermography Journal,QUANT INFR THERM J,3.7,3.2,Q1,3.1,0.9,25,604,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING"
Quantitative InfraRed Thermography Journal,QUANT INFR THERM J,3.7,3.2,Q2,3.1,0.9,25,604,"INSTRUMENTS & INSTRUMENTATION|PHYSICS, APPLIED"
Journal of Information Display,J INFORM DISPLAY,3.7,3.2,Q2,3.5,0.3,36,607,"MATERIALS SCIENCE, MULTIDISCIPLINARY"
Journal of Commodity Markets,J COMMOD MARK,3.7,3.7,Q1,3.2,1.3,54,737,ECONOMICS
Journal of Commodity Markets,J COMMOD MARK,3.7,3.7,Q2,3.2,1.3,54,737,"BUSINESS, FINANCE"
Current Research in Environmental Sustainability,CURR RES ENVIRON SUS,3.7,4.3,Q2,3.7,0.7,31,783,ENVIRONMENTAL SCIENCES|ENVIRONMENTAL STUDIES
Metabolic Engineering Communications,METAB ENG COMMUN,3.7,N/A,N/A,3.7,1,12,832,BIOTECHNOLOGY & APPLIED MICROBIOLOGY
Operations Research Perspectives,OPER RES PERSPECT,3.7,3.6,Q2,3.4,0.6,26,844,OPERATIONS RESEARCH & MANAGEMENT SCIENCE
Supply Chain Forum,SUPPLY CHAIN FORUM,3.7,N/A,N/A,3,0.9,28,886,MANAGEMENT
South European Society and Politics,S EUR SOC POLIT,3.7,3.7,Q1,3.2,1,12,963,POLITICAL SCIENCE|SOCIAL ISSUES
